bracket,team,seed,rd_1,rd_1_location,rd_1_pos,rd_2,rd_2_location,rd_2_pos,rd_3,rd_3_location,rd_3_pos,rd_4,rd_4_location,rd_4_pos,rd_5,rd_5_location,rd_5_pos,rd_6,rd_6_location,rd_6_pos
Midwest,Kansas,4,M_1_4v13,"Salt Lake City, UT",1,M_2_2,"Salt Lake City, UT",2,M_3_1,"Kansas City, MO",2,M_4,"Kansas City, MO",1,FF_S_M,"Minneapolis, MN",2,FINAL,"Minneapolis, MN",2
Midwest,Iowa State,6,M_1_6v11,"Tulsa, OK",1,M_2_3,"Tulsa, OK",1,M_3_2,"Kansas City, MO",1,M_4,"Kansas City, MO",2,FF_S_M,"Minneapolis, MN",2,FINAL,"Minneapolis, MN",2
Midwest,Houston,3,M_1_3v14,"Tulsa, OK",1,M_2_3,"Tulsa, OK",2,M_3_2,"Kansas City, MO",1,M_4,"Kansas City, MO",2,FF_S_M,"Minneapolis, MN",2,FINAL,"Minneapolis, MN",2
Midwest,Wofford,7,M_1_7v10,"Jacksonville, FL",1,M_2_4,"Jacksonville, FL",1,M_3_2,"Kansas City, MO",2,M_4,"Kansas City, MO",2,FF_S_M,"Minneapolis, MN",2,FINAL,"Minneapolis, MN",2
Midwest,Kentucky,2,M_1_2v15,"Jacksonville, FL",1,M_2_4,"Jacksonville, FL",2,M_3_2,"Kansas City, MO",2,M_4,"Kansas City, MO",2,FF_S_M,"Minneapolis, MN",2,FINAL,"Minneapolis, MN",2
East,NC Central,16,E_1_1v16,"Columbia, SC",2,E_2_1,"Columbia, SC",1,E_3_1,"Washington, D.C.",1,E_4,"Washington, D.C.",1,FF_E_W,"Minneapolis, MN",1,FINAL,"Minneapolis, MN",1
East,North Dakota State,16,E_1_1v16,"Columbia, SC",2,E_2_1,"Columbia, SC",1,E_3_1,"Washington, D.C.",1,E_4,"Washington, D.C.",1,FF_E_W,"Minneapolis, MN",1,FINAL,"Minneapolis, MN",1
East,UCF,9,E_1_8v9,"Columbia, SC",2,E_2_1,"Columbia, SC",2,E_3_1,"Washington, D.C.",1,E_4,"Washington, D.C.",1,FF_E_W,"Minneapolis, MN",1,FINAL,"Minneapolis, MN",1
East,Liberty,12,E_1_5v12,"San Jose, CA",2,E_2_2,"San Jose, CA",1,E_3_1,"Washington, D.C.",2,E_4,"Washington, D.C.",1,FF_E_W,"Minneapolis, MN",1,FINAL,"Minneapolis, MN",1
East,Saint Louis,13,E_1_4v13,"San Jose, CA",2,E_2_2,"San Jose, CA",2,E_3_1,"Washington, D.C.",2,E_4,"Washington, D.C.",1,FF_E_W,"Minneapolis, MN",1,FINAL,"Minneapolis, MN",1
East,Belmont,11,E_1_6v11,"Jacksonville, FL",2,E_2_3,"Jacksonville, FL",1,E_3_2,"Washington, D.C.",1,E_4,"Washington, D.C.",2,FF_E_W,"Minneapolis, MN",1,FINAL,"Minneapolis, MN",1
